,Country,Indicator,Inequality,Unit,Value
1022,New Zealand,Years in education,Men,Years,17.0
1023,Norway,Years in education,Men,Years,18.0
1024,Poland,Years in education,Men,Years,17.0
1025,Portugal,Years in education,Men,Years,17.0
1026,Slovak Republic,Years in education,Men,Years,15.0
1027,Spain,Years in education,Men,Years,18.0
1028,Sweden,Years in education,Men,Years,19.0
1029,Switzerland,Years in education,Men,Years,18.0
1030,Türkiye,Years in education,Men,Years,19.0
1031,United Kingdom,Years in education,Men,Years,16.0
1032,United States,Years in education,Men,Years,17.0
1033,Brazil,Years in education,Men,Years,16.0
1034,Chile,Years in education,Men,Years,17.0
1035,Estonia,Years in education,Men,Years,17.0
1036,Israel,Years in education,Men,Years,15.0
1037,Latvia,Years in education,Men,Years,18.0
1038,Russia,Years in education,Men,Years,16.0
1039,Slovenia,Years in education,Men,Years,18.0
1040,OECD - Total,Years in education,Men,Years,17.0
1041,Australia,Years in education,Women,Years,21.0
1042,Austria,Years in education,Women,Years,17.0
1043,Belgium,Years in education,Women,Years,20.0
1044,Canada,Years in education,Women,Years,17.0
1045,Czech Republic,Years in education,Women,Years,18.0
1046,Denmark,Years in education,Women,Years,20.0
1047,Finland,Years in education,Women,Years,20.0
1048,France,Years in education,Women,Years,17.0
1049,Germany,Years in education,Women,Years,18.0
1050,Greece,Years in education,Women,Years,19.0
1051,Hungary,Years in education,Women,Years,17.0
1052,Iceland,Years in education,Women,Years,20.0
1053,Ireland,Years in education,Women,Years,18.0
1054,Italy,Years in education,Women,Years,17.0
1055,Japan,Years in education,Women,Years,16.0
1056,Korea,Years in education,Women,Years,17.0
1057,Luxembourg,Years in education,Women,Years,15.0
1058,Mexico,Years in education,Women,Years,16.0
1059,Netherlands,Years in education,Women,Years,19.0
1060,New Zealand,Years in education,Women,Years,18.0
1061,Norway,Years in education,Women,Years,19.0
1062,Poland,Years in education,Women,Years,18.0
1063,Portugal,Years in education,Women,Years,17.0
1064,Slovak Republic,Years in education,Women,Years,16.0
1065,Spain,Years in education,Women,Years,18.0
1066,Sweden,Years in education,Women,Years,20.0
1067,Switzerland,Years in education,Women,Years,17.0
1068,Türkiye,Years in education,Women,Years,18.0
1069,United Kingdom,Years in education,Women,Years,17.0
1070,United States,Years in education,Women,Years,18.0
1071,Brazil,Years in education,Women,Years,16.0
1072,Chile,Years in education,Women,Years,18.0
1073,Estonia,Years in education,Women,Years,18.0
1074,Israel,Years in education,Women,Years,16.0
1075,Latvia,Years in education,Women,Years,19.0
1076,Russia,Years in education,Women,Years,17.0
1077,Slovenia,Years in education,Women,Years,19.0
1078,OECD - Total,Years in education,Women,Years,18.0
1079,Australia,Air pollution,Total,Micrograms per cubic metre,6.7
1080,Austria,Air pollution,Total,Micrograms per cubic metre,12.2
1081,Belgium,Air pollution,Total,Micrograms per cubic metre,12.8
1082,Canada,Air pollution,Total,Micrograms per cubic metre,7.1
1083,Czech Republic,Air pollution,Total,Micrograms per cubic metre,17.0
1084,Denmark,Air pollution,Total,Micrograms per cubic metre,10.0
1085,Finland,Air pollution,Total,Micrograms per cubic metre,5.5
1086,France,Air pollution,Total,Micrograms per cubic metre,11.4
1087,Germany,Air pollution,Total,Micrograms per cubic metre,12.0
1088,Greece,Air pollution,Total,Micrograms per cubic metre,14.5
1089,Hungary,Air pollution,Total,Micrograms per cubic metre,16.7
1090,Iceland,Air pollution,Total,Micrograms per cubic metre,6.4
1091,Ireland,Air pollution,Total,Micrograms per cubic metre,7.8
1092,Italy,Air pollution,Total,Micrograms per cubic metre,15.9
1093,Japan,Air pollution,Total,Micrograms per cubic metre,13.7
1094,Korea,Air pollution,Total,Micrograms per cubic metre,27.3
1095,Luxembourg,Air pollution,Total,Micrograms per cubic metre,10.0
1096,Mexico,Air pollution,Total,Micrograms per cubic metre,20.3
1097,Netherlands,Air pollution,Total,Micrograms per cubic metre,12.2
1098,New Zealand,Air pollution,Total,Micrograms per cubic metre,6.0
1099,Norway,Air pollution,Total,Micrograms per cubic metre,6.7
1100,Poland,Air pollution,Total,Micrograms per cubic metre,22.8
1101,Portugal,Air pollution,Total,Micrograms per cubic metre,8.3
1102,Slovak Republic,Air pollution,Total,Micrograms per cubic metre,18.5
1103,Spain,Air pollution,Total,Micrograms per cubic metre,10.0
1104,Sweden,Air pollution,Total,Micrograms per cubic metre,5.8
1105,Switzerland,Air pollution,Total,Micrograms per cubic metre,10.1
1106,Türkiye,Air pollution,Total,Micrograms per cubic metre,27.1
1107,United Kingdom,Air pollution,Total,Micrograms per cubic metre,10.1
1108,United States,Air pollution,Total,Micrograms per cubic metre,7.7
1109,Brazil,Air pollution,Total,Micrograms per cubic metre,11.7
1110,Chile,Air pollution,Total,Micrograms per cubic metre,23.4
1111,Estonia,Air pollution,Total,Micrograms per cubic metre,5.9
1112,Israel,Air pollution,Total,Micrograms per cubic metre,19.7
1113,Latvia,Air pollution,Total,Micrograms per cubic metre,12.7
1114,Russia,Air pollution,Total,Micrograms per cubic metre,11.8
1115,Slovenia,Air pollution,Total,Micrograms per cubic metre,17.0
1116,South Africa,Air pollution,Total,Micrograms per cubic metre,28.5
1117,OECD - Total,Air pollution,Total,Micrograms per cubic metre,14.0
1118,Australia,Water quality,Total,Percentage,92.0
1119,Austria,Water quality,Total,Percentage,92.0
1120,Belgium,Water quality,Total,Percentage,79.0
1121,Canada,Water quality,Total,Percentage,90.0
1122,Czech Republic,Water quality,Total,Percentage,89.0
1123,Denmark,Water quality,Total,Percentage,93.0
1124,Finland,Water quality,Total,Percentage,97.0
1125,France,Water quality,Total,Percentage,78.0
1126,Germany,Water quality,Total,Percentage,91.0
1127,Greece,Water quality,Total,Percentage,67.0
1128,Hungary,Water quality,Total,Percentage,81.0
1129,Iceland,Water quality,Total,Percentage,97.0
1130,Ireland,Water quality,Total,Percentage,80.0
1131,Italy,Water quality,Total,Percentage,77.0
1132,Japan,Water quality,Total,Percentage,87.0
1133,Korea,Water quality,Total,Percentage,82.0
1134,Luxembourg,Water quality,Total,Percentage,85.0
1135,Mexico,Water quality,Total,Percentage,75.0
1136,Netherlands,Water quality,Total,Percentage,91.0
1137,New Zealand,Water quality,Total,Percentage,85.0
1138,Norway,Water quality,Total,Percentage,98.0
1139,Poland,Water quality,Total,Percentage,82.0
1140,Portugal,Water quality,Total,Percentage,89.0
1141,Slovak Republic,Water quality,Total,Percentage,81.0
1142,Spain,Water quality,Total,Percentage,76.0
1143,Sweden,Water quality,Total,Percentage,97.0
1144,Switzerland,Water quality,Total,Percentage,96.0
1145,Türkiye,Water quality,Total,Percentage,62.0
1146,United Kingdom,Water quality,Total,Percentage,82.0
1147,United States,Water quality,Total,Percentage,88.0
1148,Brazil,Water quality,Total,Percentage,70.0
1149,Chile,Water quality,Total,Percentage,62.0
1150,Estonia,Water quality,Total,Percentage,86.0
1151,Israel,Water quality,Total,Percentage,77.0
1152,Latvia,Water quality,Total,Percentage,83.0
1153,Russia,Water quality,Total,Percentage,62.0
1154,Slovenia,Water quality,Total,Percentage,93.0
1155,South Africa,Water quality,Total,Percentage,72.0
1156,OECD - Total,Water quality,Total,Percentage,84.0
1157,Australia,Water quality,Men,Percentage,93.0
1158,Austria,Water quality,Men,Percentage,91.0
1159,Belgium,Water quality,Men,Percentage,81.0
1160,Canada,Water quality,Men,Percentage,94.0
1161,Czech Republic,Water quality,Men,Percentage,93.0
1162,Denmark,Water quality,Men,Percentage,93.0
1163,Finland,Water quality,Men,Percentage,96.0
1164,France,Water quality,Men,Percentage,78.0
1165,Germany,Water quality,Men,Percentage,90.0
1166,Greece,Water quality,Men,Percentage,69.0
1167,Hungary,Water quality,Men,Percentage,83.0
1168,Iceland,Water quality,Men,Percentage,98.0
1169,Ireland,Water quality,Men,Percentage,79.0
1170,Italy,Water quality,Men,Percentage,73.0
1171,Japan,Water quality,Men,Percentage,89.0
1172,Korea,Water quality,Men,Percentage,80.0
1173,Luxembourg,Water quality,Men,Percentage,85.0
1174,Mexico,Water quality,Men,Percentage,78.0
1175,Netherlands,Water quality,Men,Percentage,95.0
1176,New Zealand,Water quality,Men,Percentage,85.0
1177,Norway,Water quality,Men,Percentage,98.0
1178,Poland,Water quality,Men,Percentage,83.0
1179,Portugal,Water quality,Men,Percentage,91.0
1180,Slovak Republic,Water quality,Men,Percentage,83.0
1181,Spain,Water quality,Men,Percentage,75.0
1182,Sweden,Water quality,Men,Percentage,98.0
1183,Switzerland,Water quality,Men,Percentage,96.0
1184,Türkiye,Water quality,Men,Percentage,64.0
1185,United Kingdom,Water quality,Men,Percentage,80.0
1186,United States,Water quality,Men,Percentage,90.0
1187,Brazil,Water quality,Men,Percentage,70.0
1188,Chile,Water quality,Men,Percentage,64.0
1189,Estonia,Water quality,Men,Percentage,86.0
1190,Israel,Water quality,Men,Percentage,74.0
1191,Latvia,Water quality,Men,Percentage,84.0
1192,Russia,Water quality,Men,Percentage,64.0
1193,Slovenia,Water quality,Men,Percentage,95.0
1194,South Africa,Water quality,Men,Percentage,71.0
1195,OECD - Total,Water quality,Men,Percentage,85.0
1196,Australia,Water quality,Women,Percentage,91.0
1197,Austria,Water quality,Women,Percentage,92.0
1198,Belgium,Water quality,Women,Percentage,77.0
1199,Canada,Water quality,Women,Percentage,87.0
1200,Czech Republic,Water quality,Women,Percentage,86.0
1201,Denmark,Water quality,Women,Percentage,92.0
1202,Finland,Water quality,Women,Percentage,97.0
1203,France,Water quality,Women,Percentage,79.0
1204,Germany,Water quality,Women,Percentage,92.0
1205,Greece,Water quality,Women,Percentage,66.0
1206,Hungary,Water quality,Women,Percentage,79.0
1207,Iceland,Water quality,Women,Percentage,96.0
1208,Ireland,Water quality,Women,Percentage,81.0
1209,Italy,Water quality,Women,Percentage,82.0
1210,Japan,Water quality,Women,Percentage,85.0
1211,Korea,Water quality,Women,Percentage,84.0
1212,Luxembourg,Water quality,Women,Percentage,85.0
1213,Mexico,Water quality,Women,Percentage,72.0
1214,Netherlands,Water quality,Women,Percentage,88.0
1215,New Zealand,Water quality,Women,Percentage,84.0
1216,Norway,Water quality,Women,Percentage,98.0
1217,Poland,Water quality,Women,Percentage,82.0
1218,Portugal,Water quality,Women,Percentage,88.0
1219,Slovak Republic,Water quality,Women,Percentage,80.0
1220,Spain,Water quality,Women,Percentage,77.0
1221,Sweden,Water quality,Women,Percentage,97.0
1222,Switzerland,Water quality,Women,Percentage,95.0
1223,Türkiye,Water quality,Women,Percentage,60.0
1224,United Kingdom,Water quality,Women,Percentage,84.0
1225,United States,Water quality,Women,Percentage,86.0
1226,Brazil,Water quality,Women,Percentage,71.0
1227,Chile,Water quality,Women,Percentage,60.0
1228,Estonia,Water quality,Women,Percentage,86.0
1229,Israel,Water quality,Women,Percentage,79.0
1230,Latvia,Water quality,Women,Percentage,83.0
1231,Russia,Water quality,Women,Percentage,59.0
1232,Slovenia,Water quality,Women,Percentage,90.0
1233,South Africa,Water quality,Women,Percentage,73.0
1234,OECD - Total,Water quality,Women,Percentage,84.0
1235,Australia,Voter turnout,Total,Percentage,92.0
1236,Austria,Voter turnout,Total,Percentage,76.0
1237,Belgium,Voter turnout,Total,Percentage,88.0
1238,Canada,Voter turnout,Total,Percentage,68.0
1239,Czech Republic,Voter turnout,Total,Percentage,62.0
1240,Denmark,Voter turnout,Total,Percentage,85.0
1241,Finland,Voter turnout,Total,Percentage,69.0
1242,France,Voter turnout,Total,Percentage,75.0
1243,Germany,Voter turnout,Total,Percentage,76.0
1244,Greece,Voter turnout,Total,Percentage,58.0
1245,Hungary,Voter turnout,Total,Percentage,70.0
1246,Iceland,Voter turnout,Total,Percentage,81.0
1247,Ireland,Voter turnout,Total,Percentage,63.0
1248,Italy,Voter turnout,Total,Percentage,73.0
1249,Japan,Voter turnout,Total,Percentage,53.0
1250,Korea,Voter turnout,Total,Percentage,77.0
1251,Luxembourg,Voter turnout,Total,Percentage,90.0
1252,Mexico,Voter turnout,Total,Percentage,63.0
1253,Netherlands,Voter turnout,Total,Percentage,79.0
1254,New Zealand,Voter turnout,Total,Percentage,82.0
1255,Norway,Voter turnout,Total,Percentage,78.0
1256,Poland,Voter turnout,Total,Percentage,68.0
1257,Portugal,Voter turnout,Total,Percentage,49.0
1258,Slovak Republic,Voter turnout,Total,Percentage,66.0
1259,Spain,Voter turnout,Total,Percentage,72.0
1260,Sweden,Voter turnout,Total,Percentage,87.0
1261,Switzerland,Voter turnout,Total,Percentage,45.0
1262,Türkiye,Voter turnout,Total,Percentage,86.0
1263,United Kingdom,Voter turnout,Total,Percentage,68.0
1264,United States,Voter turnout,Total,Percentage,65.0
1265,Brazil,Voter turnout,Total,Percentage,80.0
1266,Chile,Voter turnout,Total,Percentage,47.0
1267,Estonia,Voter turnout,Total,Percentage,64.0
1268,Israel,Voter turnout,Total,Percentage,67.0
1269,Latvia,Voter turnout,Total,Percentage,55.0
1270,Russia,Voter turnout,Total,Percentage,68.0
1271,Slovenia,Voter turnout,Total,Percentage,53.0
1272,South Africa,Voter turnout,Total,Percentage,66.0
1273,OECD - Total,Voter turnout,Total,Percentage,69.0
1274,Australia,Life expectancy,Total,Years,83.0
1275,Austria,Life expectancy,Total,Years,82.0
1276,Belgium,Life expectancy,Total,Years,82.1
1277,Canada,Life expectancy,Total,Years,82.1
1278,Czech Republic,Life expectancy,Total,Years,79.3
1279,Denmark,Life expectancy,Total,Years,81.5
1280,Finland,Life expectancy,Total,Years,82.1
1281,France,Life expectancy,Total,Years,82.9
1282,Germany,Life expectancy,Total,Years,81.4
1283,Greece,Life expectancy,Total,Years,81.7
1284,Hungary,Life expectancy,Total,Years,76.4
1285,Iceland,Life expectancy,Total,Years,83.2
1286,Ireland,Life expectancy,Total,Years,82.8
1287,Italy,Life expectancy,Total,Years,83.6
1288,Japan,Life expectancy,Total,Years,84.4
1289,Korea,Life expectancy,Total,Years,83.3
1290,Luxembourg,Life expectancy,Total,Years,82.7
1291,Mexico,Life expectancy,Total,Years,75.1
1292,Netherlands,Life expectancy,Total,Years,82.2
1293,New Zealand,Life expectancy,Total,Years,82.1
1294,Norway,Life expectancy,Total,Years,83.0
1295,Poland,Life expectancy,Total,Years,78.0
1296,Portugal,Life expectancy,Total,Years,81.8
1297,Slovak Republic,Life expectancy,Total,Years,77.8
1298,Spain,Life expectancy,Total,Years,83.9
1299,Sweden,Life expectancy,Total,Years,83.2
1300,Switzerland,Life expectancy,Total,Years,84.0
1301,Türkiye,Life expectancy,Total,Years,78.6
1302,United Kingdom,Life expectancy,Total,Years,81.3
1303,United States,Life expectancy,Total,Years,78.9
1304,Brazil,Life expectancy,Total,Years,75.9
1305,Chile,Life expectancy,Total,Years,80.6
1306,Estonia,Life expectancy,Total,Years,78.8
1307,Israel,Life expectancy,Total,Years,82.9
1308,Latvia,Life expectancy,Total,Years,75.5
1309,Russia,Life expectancy,Total,Years,73.2
1310,Slovenia,Life expectancy,Total,Years,81.6
1311,South Africa,Life expectancy,Total,Years,64.2
1312,OECD - Total,Life expectancy,Total,Years,81.0
1313,Australia,Life expectancy,Men,Years,80.9
1314,Austria,Life expectancy,Men,Years,79.7
1315,Belgium,Life expectancy,Men,Years,79.8
1316,Canada,Life expectancy,Men,Years,80.0
1317,Czech Republic,Life expectancy,Men,Years,76.4
1318,Denmark,Life expectancy,Men,Years,79.5
1319,Finland,Life expectancy,Men,Years,79.3
1320,France,Life expectancy,Men,Years,79.9
1321,Germany,Life expectancy,Men,Years,79.0
1322,Greece,Life expectancy,Men,Years,79.2
1323,Hungary,Life expectancy,Men,Years,73.1
1324,Iceland,Life expectancy,Men,Years,81.7
1325,Ireland,Life expectancy,Men,Years,80.8
1326,Italy,Life expectancy,Men,Years,81.4
1327,Japan,Life expectancy,Men,Years,81.4
1328,Korea,Life expectancy,Men,Years,80.3
1329,Luxembourg,Life expectancy,Men,Years,80.2
1330,Mexico,Life expectancy,Men,Years,72.2
1331,Netherlands,Life expectancy,Men,Years,80.6
1332,New Zealand,Life expectancy,Men,Years,80.3
1333,Norway,Life expectancy,Men,Years,81.3
1334,Poland,Life expectancy,Men,Years,74.1
1335,Portugal,Life expectancy,Men,Years,78.7
1336,Slovak Republic,Life expectancy,Men,Years,74.3
1337,Spain,Life expectancy,Men,Years,81.1
1338,Sweden,Life expectancy,Men,Years,81.5
1339,Switzerland,Life expectancy,Men,Years,82.1
1340,Türkiye,Life expectancy,Men,Years,75.9
1341,United Kingdom,Life expectancy,Men,Years,79.4
1342,United States,Life expectancy,Men,Years,76.3
1343,Brazil,Life expectancy,Men,Years,72.2
1344,Chile,Life expectancy,Men,Years,77.9
1345,Estonia,Life expectancy,Men,Years,74.5
1346,Israel,Life expectancy,Men,Years,81.0
1347,Latvia,Life expectancy,Men,Years,70.9
1348,Russia,Life expectancy,Men,Years,68.2
1349,Slovenia,Life expectancy,Men,Years,78.7
1350,South Africa,Life expectancy,Men,Years,60.7
1351,OECD - Total,Life expectancy,Men,Years,78.3
1352,Australia,Life expectancy,Women,Years,85.0
1353,Austria,Life expectancy,Women,Years,84.2
1354,Belgium,Life expectancy,Women,Years,84.3
1355,Canada,Life expectancy,Women,Years,84.2
1356,Czech Republic,Life expectancy,Women,Years,82.2
1357,Denmark,Life expectancy,Women,Years,83.5
1358,Finland,Life expectancy,Women,Years,84.8
1359,France,Life expectancy,Women,Years,85.9
1360,Germany,Life expectancy,Women,Years,83.7
1361,Greece,Life expectancy,Women,Years,84.2
1362,Hungary,Life expectancy,Women,Years,79.7
1363,Iceland,Life expectancy,Women,Years,84.7
1364,Ireland,Life expectancy,Women,Years,84.7
1365,Italy,Life expectancy,Women,Years,85.7
1366,Japan,Life expectancy,Women,Years,87.5
1367,Korea,Life expectancy,Women,Years,86.3
1368,Luxembourg,Life expectancy,Women,Years,85.2
1369,Mexico,Life expectancy,Women,Years,78.0
1370,Netherlands,Life expectancy,Women,Years,83.7
1371,New Zealand,Life expectancy,Women,Years,83.9
1372,Norway,Life expectancy,Women,Years,84.7
1373,Poland,Life expectancy,Women,Years,81.9
1374,Portugal,Life expectancy,Women,Years,84.8
1375,Slovak Republic,Life expectancy,Women,Years,81.2
1376,Spain,Life expectancy,Women,Years,86.7
1377,Sweden,Life expectancy,Women,Years,84.8
1378,Switzerland,Life expectancy,Women,Years,85.8
1379,Türkiye,Life expectancy,Women,Years,81.3
1380,United Kingdom,Life expectancy,Women,Years,83.1
1381,United States,Life expectancy,Women,Years,81.4
1382,Brazil,Life expectancy,Women,Years,79.6
1383,Chile,Life expectancy,Women,Years,83.4
1384,Estonia,Life expectancy,Women,Years,83.0
1385,Israel,Life expectancy,Women,Years,84.8
1386,Latvia,Life expectancy,Women,Years,80.1
1387,Russia,Life expectancy,Women,Years,78.2
1388,Slovenia,Life expectancy,Women,Years,84.5
1389,South Africa,Life expectancy,Women,Years,67.7
1390,OECD - Total,Life expectancy,Women,Years,83.6
1391,Australia,Self-reported health,Total,Percentage,85.0
1392,Austria,Self-reported health,Total,Percentage,71.0
1393,Belgium,Self-reported health,Total,Percentage,74.0
1394,Canada,Self-reported health,Total,Percentage,89.0
1395,Czech Republic,Self-reported health,Total,Percentage,62.0
1396,Denmark,Self-reported health,Total,Percentage,70.0
1397,Finland,Self-reported health,Total,Percentage,68.0
1398,France,Self-reported health,Total,Percentage,67.0
1399,Germany,Self-reported health,Total,Percentage,66.0
1400,Greece,Self-reported health,Total,Percentage,79.0
1401,Hungary,Self-reported health,Total,Percentage,58.0
1402,Iceland,Self-reported health,Total,Percentage,77.0
1403,Ireland,Self-reported health,Total,Percentage,84.0
1404,Italy,Self-reported health,Total,Percentage,73.0
1405,Japan,Self-reported health,Total,Percentage,37.0
1406,Korea,Self-reported health,Total,Percentage,34.0
1407,Luxembourg,Self-reported health,Total,Percentage,72.0
1408,Mexico,Self-reported health,Total,Percentage,66.0
1409,Netherlands,Self-reported health,Total,Percentage,75.0
1410,New Zealand,Self-reported health,Total,Percentage,86.0
1411,Norway,Self-reported health,Total,Percentage,75.0
1412,Poland,Self-reported health,Total,Percentage,60.0
1413,Portugal,Self-reported health,Total,Percentage,50.0
1414,Slovak Republic,Self-reported health,Total,Percentage,65.0
1415,Spain,Self-reported health,Total,Percentage,75.0
1416,Sweden,Self-reported health,Total,Percentage,76.0
1417,Switzerland,Self-reported health,Total,Percentage,81.0
1418,Türkiye,Self-reported health,Total,Percentage,67.0
1419,United Kingdom,Self-reported health,Total,Percentage,73.0
1420,United States,Self-reported health,Total,Percentage,88.0
1421,Chile,Self-reported health,Total,Percentage,60.0
1422,Estonia,Self-reported health,Total,Percentage,57.0
1423,Israel,Self-reported health,Total,Percentage,74.0
1424,Latvia,Self-reported health,Total,Percentage,47.0
1425,Russia,Self-reported health,Total,Percentage,43.0
1426,Slovenia,Self-reported health,Total,Percentage,67.0
1427,OECD - Total,Self-reported health,Total,Percentage,68.0
1428,Australia,Self-reported health,Men,Percentage,85.0
1429,Austria,Self-reported health,Men,Percentage,72.0
1430,Belgium,Self-reported health,Men,Percentage,76.0
1431,Canada,Self-reported health,Men,Percentage,90.0
1432,Czech Republic,Self-reported health,Men,Percentage,64.0
1433,Denmark,Self-reported health,Men,Percentage,72.0
1434,Finland,Self-reported health,Men,Percentage,69.0
1435,France,Self-reported health,Men,Percentage,69.0
1436,Germany,Self-reported health,Men,Percentage,66.0
1437,Greece,Self-reported health,Men,Percentage,81.0
1438,Hungary,Self-reported health,Men,Percentage,62.0
1439,Iceland,Self-reported health,Men,Percentage,81.0
1440,Ireland,Self-reported health,Men,Percentage,84.0
1441,Italy,Self-reported health,Men,Percentage,76.0
1442,Japan,Self-reported health,Men,Percentage,38.0
1443,Korea,Self-reported health,Men,Percentage,38.0
1444,Luxembourg,Self-reported health,Men,Percentage,73.0
1445,Mexico,Self-reported health,Men,Percentage,67.0
1446,Netherlands,Self-reported health,Men,Percentage,77.0
1447,New Zealand,Self-reported health,Men,Percentage,87.0
1448,Norway,Self-reported health,Men,Percentage,76.0
1449,Poland,Self-reported health,Men,Percentage,63.0
1450,Portugal,Self-reported health,Men,Percentage,55.0
1451,Slovak Republic,Self-reported health,Men,Percentage,69.0
1452,Spain,Self-reported health,Men,Percentage,78.0
1453,Sweden,Self-reported health,Men,Percentage,79.0
1454,Switzerland,Self-reported health,Men,Percentage,83.0
1455,Türkiye,Self-reported health,Men,Percentage,72.0
1456,United Kingdom,Self-reported health,Men,Percentage,74.0
1457,United States,Self-reported health,Men,Percentage,88.0
1458,Chile,Self-reported health,Men,Percentage,64.0
1459,Estonia,Self-reported health,Men,Percentage,59.0
1460,Israel,Self-reported health,Men,Percentage,75.0
1461,Latvia,Self-reported health,Men,Percentage,53.0
1462,Russia,Self-reported health,Men,Percentage,49.0
1463,Slovenia,Self-reported health,Men,Percentage,70.0
1464,OECD - Total,Self-reported health,Men,Percentage,71.0
1465,Australia,Self-reported health,Women,Percentage,86.0
1466,Austria,Self-reported health,Women,Percentage,71.0
1467,Belgium,Self-reported health,Women,Percentage,72.0
1468,Canada,Self-reported health,Women,Percentage,88.0
1469,Czech Republic,Self-reported health,Women,Percentage,61.0
1470,Denmark,Self-reported health,Women,Percentage,67.0
1471,Finland,Self-reported health,Women,Percentage,68.0
1472,France,Self-reported health,Women,Percentage,65.0
1473,Germany,Self-reported health,Women,Percentage,65.0
1474,Greece,Self-reported health,Women,Percentage,77.0
1475,Hungary,Self-reported health,Women,Percentage,55.0
1476,Iceland,Self-reported health,Women,Percentage,72.0
1477,Ireland,Self-reported health,Women,Percentage,84.0
1478,Italy,Self-reported health,Women,Percentage,70.0
1479,Japan,Self-reported health,Women,Percentage,35.0
1480,Korea,Self-reported health,Women,Percentage,30.0
1481,Luxembourg,Self-reported health,Women,Percentage,70.0
1482,Mexico,Self-reported health,Women,Percentage,64.0
1483,Netherlands,Self-reported health,Women,Percentage,73.0
1484,New Zealand,Self-reported health,Women,Percentage,85.0
1485,Norway,Self-reported health,Women,Percentage,73.0
1486,Poland,Self-reported health,Women,Percentage,57.0
1487,Portugal,Self-reported health,Women,Percentage,45.0
1488,Slovak Republic,Self-reported health,Women,Percentage,61.0
1489,Spain,Self-reported health,Women,Percentage,73.0
1490,Sweden,Self-reported health,Women,Percentage,73.0
1491,Switzerland,Self-reported health,Women,Percentage,79.0
1492,Türkiye,Self-reported health,Women,Percentage,62.0
1493,United Kingdom,Self-reported health,Women,Percentage,72.0
1494,United States,Self-reported health,Women,Percentage,87.0
1495,Chile,Self-reported health,Women,Percentage,56.0
1496,Estonia,Self-reported health,Women,Percentage,54.0
1497,Israel,Self-reported health,Women,Percentage,72.0
1498,Latvia,Self-reported health,Women,Percentage,43.0
1499,Russia,Self-reported health,Women,Percentage,38.0
1500,Slovenia,Self-reported health,Women,Percentage,64.0
1501,OECD - Total,Self-reported health,Women,Percentage,66.0
1502,Australia,Life satisfaction,Total,Average score,7.1
1503,Austria,Life satisfaction,Total,Average score,7.2
1504,Belgium,Life satisfaction,Total,Average score,6.8
1505,Canada,Life satisfaction,Total,Average score,7.0
1506,Czech Republic,Life satisfaction,Total,Average score,6.9
1507,Denmark,Life satisfaction,Total,Average score,7.5
1508,Finland,Life satisfaction,Total,Average score,7.9
1509,France,Life satisfaction,Total,Average score,6.7
1510,Germany,Life satisfaction,Total,Average score,7.3
1511,Greece,Life satisfaction,Total,Average score,5.8
1512,Hungary,Life satisfaction,Total,Average score,6.0
1513,Iceland,Life satisfaction,Total,Average score,7.6
1514,Ireland,Life satisfaction,Total,Average score,7.0
1515,Italy,Life satisfaction,Total,Average score,6.5
1516,Japan,Life satisfaction,Total,Average score,6.1
1517,Korea,Life satisfaction,Total,Average score,5.8
1518,Luxembourg,Life satisfaction,Total,Average score,7.4
1519,Mexico,Life satisfaction,Total,Average score,6.0
1520,Netherlands,Life satisfaction,Total,Average score,7.5
1521,New Zealand,Life satisfaction,Total,Average score,7.3
1522,Norway,Life satisfaction,Total,Average score,7.3
1523,Poland,Life satisfaction,Total,Average score,6.1
1524,Portugal,Life satisfaction,Total,Average score,5.8
1525,Slovak Republic,Life satisfaction,Total,Average score,6.5
1526,Spain,Life satisfaction,Total,Average score,6.5
1527,Sweden,Life satisfaction,Total,Average score,7.3
1528,Switzerland,Life satisfaction,Total,Average score,7.5
1529,Türkiye,Life satisfaction,Total,Average score,4.9
1530,United Kingdom,Life satisfaction,Total,Average score,6.8
1531,United States,Life satisfaction,Total,Average score,7.0
1532,Brazil,Life satisfaction,Total,Average score,6.1
1533,Chile,Life satisfaction,Total,Average score,6.2
1534,Estonia,Life satisfaction,Total,Average score,6.5
1535,Israel,Life satisfaction,Total,Average score,7.2
1536,Latvia,Life satisfaction,Total,Average score,6.2
1537,Russia,Life satisfaction,Total,Average score,5.5
1538,Slovenia,Life satisfaction,Total,Average score,6.5
1539,South Africa,Life satisfaction,Total,Average score,4.9
1540,OECD - Total,Life satisfaction,Total,Average score,6.7
1541,Australia,Life satisfaction,Men,Average score,7.1
1542,Austria,Life satisfaction,Men,Average score,7.1
1543,Belgium,Life satisfaction,Men,Average score,6.9
1544,Canada,Life satisfaction,Men,Average score,7.0
1545,Czech Republic,Life satisfaction,Men,Average score,6.9
1546,Denmark,Life satisfaction,Men,Average score,7.4
1547,Finland,Life satisfaction,Men,Average score,7.7
1548,France,Life satisfaction,Men,Average score,6.8
1549,Germany,Life satisfaction,Men,Average score,7.4
1550,Greece,Life satisfaction,Men,Average score,6.0
1551,Hungary,Life satisfaction,Men,Average score,6.3
1552,Iceland,Life satisfaction,Men,Average score,7.4
1553,Ireland,Life satisfaction,Men,Average score,6.9
1554,Italy,Life satisfaction,Men,Average score,6.4
1555,Japan,Life satisfaction,Men,Average score,5.9
1556,Korea,Life satisfaction,Men,Average score,5.4
1557,Luxembourg,Life satisfaction,Men,Average score,7.4
